dataset,ecfp,fcfp,topo,ap,maccs
../data/JCIM_59_1269\Aurora-A,0.6747662707969422,0.7121230264441532,0.6610174489080112,0.6482332782776143,0.5963722289867118
../data/JCIM_59_1269\Aurora-A,0.6630072824019635,0.6539320248558984,0.6332939386141454,0.6006324705225399,0.590345501729843
../data/JCIM_59_1269\Aurora-A,0.6638862225203872,0.6764569591601952,0.6387428239327406,0.59415027242953,0.5933022512322705
../data/JCIM_59_1269\Aurora-A,0.6428365497497907,0.6564356436331311,0.6127556324689921,0.6171280017963519,0.572479423440744
../data/JCIM_59_1269\Aurora-A,0.6542421703650612,0.6788274112397463,0.6660622906013522,0.5482645649307962,0.5705082493579752
../data/JCIM_59_1269\B-raf,0.7673511245383322,0.7639495321488108,0.7660315688739199,0.7175406522763816,0.667410217388701
../data/JCIM_59_1269\B-raf,0.7290166982373931,0.7246116854295983,0.7250208854763338,0.6680538677150185,0.6336276375151774
../data/JCIM_59_1269\B-raf,0.7627426907026276,0.7352845992240156,0.7184850241589229,0.7511844311364264,0.6463579979818044
../data/JCIM_59_1269\B-raf,0.7438462000829571,0.7364268703063334,0.7362706681211775,0.7322134213461042,0.634555224039426
../data/JCIM_59_1269\B-raf,0.7761255985946021,0.7454632658781227,0.7604318595069265,0.7304453804230513,0.6561909625897113
../data/JCIM_59_1269\B-raf,0.7666467360093477,0.741050145793757,0.7318187629981043,0.7212111059209121,0.6244895696414259
../data/JCIM_59_1269\B-raf,0.7401622286865818,0.7229199937482615,0.7299741389360044,0.7344037452503442,0.6368938654115595
../data/JCIM_59_1269\B-raf,0.7405041266820444,0.754350477778769,0.7635297989190192,0.7627042958864774,0.6620047601735697
../data/JCIM_59_1269\B-raf,0.7760520416055406,0.7355118194925948,0.7616881582320616,0.7453029121023482,0.6282313969197635
../data/JCIM_59_1269\B-raf,0.7163356880806676,0.7137809432021912,0.7459758738486889,0.6827048815518452,0.5863098423986112
../data/JCIM_59_1269\Cannabinoid,0.6816151155821351,0.6337934909862026,0.7164084164862846,0.6926665635928155,0.6160722677862707
../data/JCIM_59_1269\Cannabinoid,0.5980623493300211,0.540093660802166,0.5400219665080281,0.5254684387893395,0.48035280172434003
../data/JCIM_59_1269\Cannabinoid,0.7537624152301844,0.6637738534250491,0.7183812343785028,0.6967315863131973,0.6200166182786373
../data/JCIM_59_1269\Cannabinoid,0.7094131248545112,0.6262522496608661,0.6398444921684532,0.6189597544794094,0.5664890889857465
../data/JCIM_59_1269\Cannabinoid,0.7154891860745674,0.6818809027222549,0.6832137318058107,0.6680180851536797,0.6271538112403174
../data/JCIM_59_1269\Cannabinoid,0.7158570140982643,0.6815584244872328,0.6836921296924736,0.6697846870798423,0.5919896025306921
../data/JCIM_59_1269\Cannabinoid,0.5527526247958583,0.597843589866551,0.5919898658122702,0.6054355511625409,0.46963265674824095
../data/JCIM_59_1269\Cannabinoid,0.6323220181060799,0.6374671057314353,0.644805791504834,0.6338672118891566,0.5754542185777057
../data/JCIM_59_1269\Cannabinoid,0.6767686815355249,0.6446811029423951,0.6690394030762776,0.6027377477866984,0.5911243614182788
../data/JCIM_59_1269\Cannabinoid,0.5775549908897124,0.6052304763099926,0.60471347009849,0.5559850660194785,0.4505783013955169
../data/JCIM_59_1269\Carbonic,0.7285488079164832,0.7933090916199792,0.7384287365084945,0.7276863109258038,0.8094634059337972
../data/JCIM_59_1269\Carbonic,0.656798226500894,0.7199012468217876,0.6486116471029295,0.7075870764445427,0.6269600677372295
../data/JCIM_59_1269\Carbonic,0.7528272413790713,0.835452033136163,0.7455813972178391,0.7515546120495921,0.8155632633547085
../data/JCIM_59_1269\Carbonic,0.7804999620706574,0.8168833151508421,0.8081161171218337,0.7628914659527124,0.8257037161734984
