,year,Hydroxy to chloro,Carboxy to carbamoyl,Carboxylic acid to acid chloride,Oxo to hydroxyimino,Cyano to carbamoyl,Carboxy ester to carbamoyl,Bromo to cyano,Pyridone to chloropyridine,Hydroxy to bromo,Chloro to amino,Azido to amino,Deoxygenation,Oxo to thioxo,Dechlorination,Carbamoyl to cyano,Cyano to carboxy
10,1986.0,11.231884058,2.53623188406,7.24637681159,2.17391304348,3.26086956522,5.07246376812,1.08695652174,2.89855072464,1.44927536232,2.53623188406,2.53623188406,0.724637681159,9.42028985507,3.26086956522,2.17391304348,2.53623188406
11,1987.0,15.8227848101,1.89873417722,9.49367088608,7.91139240506,3.79746835443,2.84810126582,3.16455696203,1.58227848101,2.53164556962,4.11392405063,2.21518987342,0.949367088608,1.58227848101,2.84810126582,1.58227848101,2.21518987342
12,1988.0,10.4761904762,4.44444444444,7.30158730159,7.93650793651,2.85714285714,5.71428571429,1.90476190476,2.85714285714,2.22222222222,2.22222222222,2.22222222222,1.90476190476,3.1746031746,5.71428571429,2.53968253968,1.26984126984
13,1989.0,16.9230769231,3.07692307692,8.46153846154,4.10256410256,3.07692307692,4.35897435897,2.30769230769,4.10256410256,4.35897435897,1.28205128205,3.07692307692,2.30769230769,5.12820512821,5.12820512821,1.02564102564,1.28205128205
14,1990.0,13.1578947368,2.89473684211,9.47368421053,5.78947368421,6.31578947368,1.05263157895,3.94736842105,1.84210526316,2.89473684211,5.0,2.10526315789,2.36842105263,6.31578947368,2.63157894737,4.21052631579,4.21052631579
15,1991.0,13.9534883721,0.845665961945,8.45665961945,5.49682875264,0.845665961945,2.95983086681,1.05708245243,3.38266384778,5.28541226216,2.74841437632,3.17124735729,2.32558139535,4.6511627907,4.01691331924,1.90274841438,3.59408033827
16,1992.0,8.9058524173,2.29007633588,8.39694656489,5.08905852417,2.29007633588,4.32569974555,1.52671755725,4.07124681934,6.10687022901,5.34351145038,2.54452926209,1.78117048346,1.52671755725,3.56234096692,2.54452926209,1.52671755725
17,1993.0,10.3813559322,3.38983050847,11.6525423729,4.44915254237,3.81355932203,2.96610169492,1.27118644068,2.54237288136,5.29661016949,2.54237288136,1.0593220339,1.90677966102,2.75423728814,2.75423728814,1.69491525424,0.847457627119
18,1994.0,9.18635170604,3.67454068241,5.24934383202,14.9606299213,2.09973753281,2.88713910761,1.57480314961,3.14960629921,5.24934383202,3.14960629921,2.09973753281,1.31233595801,1.31233595801,2.62467191601,2.62467191601,4.19947506562
19,1995.0,12.5319693095,6.90537084399,6.39386189258,3.83631713555,2.04603580563,1.79028132992,3.32480818414,5.11508951407,4.60358056266,2.30179028133,1.79028132992,2.55754475703,2.55754475703,2.30179028133,2.04603580563,1.53452685422
20,1996.0,8.36363636364,2.54545454545,10.9090909091,3.63636363636,2.36363636364,2.18181818182,1.81818181818,2.0,3.63636363636,2.36363636364,9.81818181818,2.0,3.27272727273,1.81818181818,1.63636363636,1.63636363636
21,1997.0,7.64790764791,6.20490620491,7.07070707071,5.91630591631,2.4531024531,1.443001443,2.3088023088,1.2987012987,3.7518037518,1.5873015873,3.0303030303,2.886002886,3.1746031746,1.2987012987,3.3189033189,1.8759018759
