,year,Nitro to amino,Alkene hydrogenation,Ester to alcohol reduction,Ketone to alcohol reduction,Carboxylic acid to alcohol reduction,Amide to amine reduction,Nitrile reduction,Aldehyde to alcohol reduction,Bouveault-Blanc reduction
21,1997.0,32.7964860908,14.6412884334,11.7130307467,9.9560761347,4.97803806735,4.97803806735,3.22108345534,4.68521229868,6.73499267936
22,1998.0,33.4221038615,17.1770972037,10.3861517976,5.99201065246,4.26098535286,6.25832223702,5.32623169108,5.1930758988,3.4620505992
23,1999.0,35.8024691358,13.7037037037,14.3209876543,6.41975308642,6.79012345679,5.8024691358,2.96296296296,3.08641975309,4.56790123457
24,2000.0,36.8292682927,16.3414634146,9.63414634146,7.68292682927,3.17073170732,5.48780487805,5.85365853659,3.78048780488,3.41463414634
25,2001.0,35.1595006935,16.1581137309,12.0665742025,7.97503467406,4.43828016644,5.06241331484,3.95284327323,4.43828016644,3.25936199723
26,2002.0,38.4731290809,14.0632847815,9.84429934706,8.94023103968,4.06830738322,7.08186840784,4.31943746861,3.11401305876,3.61627322953
27,2003.0,36.8895211,12.1384542437,11.3323850166,8.25035561878,6.44855381697,6.54338549075,3.98293029872,3.69843527738,3.88809862494
28,2004.0,34.7151898734,11.6139240506,12.246835443,10.8227848101,5.41139240506,5.63291139241,4.96835443038,3.38607594937,4.43037974684
29,2005.0,35.0306970025,12.3149151318,12.7121704586,8.30624774287,5.48934633442,5.20043336945,4.69483568075,4.73094980137,4.11700975081
30,2006.0,37.5352775165,12.2608968329,12.9821260583,8.05895264973,4.86045782377,5.36218250235,4.35873314519,5.26810912512,3.5747883349
31,2007.0,39.2025689055,14.0219427348,11.5600749264,7.38560342521,4.6561412898,5.27160824191,6.07439122291,3.6928017126,3.0505753278
32,2008.0,39.0102294719,10.8653580315,13.1877246337,6.44180259884,5.36356096212,5.17003041194,6.33121371302,3.2623721316,4.75532209013
33,2009.0,33.4189031505,12.8121353559,15.1458576429,8.51808634772,6.06767794632,4.20070011669,4.97082847141,4.78413068845,4.15402567095
34,2010.0,35.8191193971,13.5065450218,11.8603728679,7.49702499008,5.85085283618,5.3748512495,5.15668385561,4.77984926616,4.0856802856
35,2011.0,38.1698268755,14.3171200879,12.7782357791,8.02418246771,4.5342126958,4.36933223413,4.12201154163,3.68233031052,4.83649354218
36,2012.0,41.773255814,12.6744186047,9.94186046512,7.90697674419,4.50581395349,4.27325581395,4.47674418605,5.52325581395,2.8488372093
37,2013.0,39.6577604323,12.1885319724,10.9276493545,8.88622035425,4.71329930952,2.6118282798,5.10357250075,6.75472830982,4.26298408886
38,2014.0,37.6923076923,12.508361204,12.6086956522,7.75919732441,5.2508361204,5.08361204013,4.28093645485,3.71237458194,4.14715719064
39,2015.0,33.1753554502,13.7835703002,13.2306477093,10.3475513428,5.4897314376,4.30489731438,5.09478672986,4.62085308057,4.66034755134
